 id_proyecto;fecha_inicio;ubicacion;cliente;tecnico_encargado;tipo_proyecto;complejidad;indice_riesgo;experiencia_contratista;duracion_planificada_dias;retraso_dias;incidentes_ambientales;costo_presupuesto_inicial;costo_real_final;desviacion_coste_pct;coste_material_final;coste_maquinaria_final;coste_mano_obra_final;coste_adicional_final;tipo_material;diametro_tuberia_mm;longitud_tuberia_km;num_valvulas_compuerta;num_hidrantes;num_bocas_riego;m2_lona;tipo_lona;m2_geotextil;electrovalvulas;bombas;tipo_reparacion;complejidad_reparacion
HIDRO-2025-01029;2023-01-31 13:28:39.827998;Este;Privado;TEC-0040;Riego Agrícola;1;2,9;3;30;-5;3;1216360,0;1528286,43;25,64;1140493,4;22285,2;53581,4;311926,43;;250;11,82;0;0;0;0;;0;23;2;;0
HIDRO-2025-01371;2023-01-31 13:28:39.833829;Oeste;Comunidad de Regantes;TEC-0012;Impermeabilización;1;2,0;1;58;1;1;231947,52;326588,27;40,8;107258,47;22090,24;102598,81;94640,75;;0;0,0;0;0;0;8629;vertederos;9492;0;0;;0
HIDRO-2025-00514;2023-02-01 13:28:39.818508;Oeste;Privado;TEC-0014;Reparación;1;2,3;4;5;-5;3;5884,41;5679,1;-3,49;5666,74;72,17;145,5;-205,3;FD;100;0,097;0;0;0;0;;0;0;0;Sustitución;1
HIDRO-2025-01494;2023-02-03 13:28:39.835986;Central;Comunidad de Regantes;TEC-0020;Impermeabilización;3;2,2;4;37;-7;1;94106,88;120037,7;27,55;43517,43;8962,56;41626,89;25930,82;;0;0,0;0;0;0;3501;vertederos;3851;0;0;;0
HIDRO-2025-00049;2023-02-04 13:28:39.810268;Sur;Privado;TEC-0013;Red Agua Potable;1;1,2;2;87;-2;1;912956,2;1131433,43;23,93;851179,4;18066,8;43710,0;218477,23;FD;100;29,14;8;2;58;0;;0;0;0;;0
HIDRO-2025-00116;2023-02-04 13:28:39.811497;Central;Industrial;TEC-0022;Riego Agrícola;1;2,4;4;32;-7;1;871817,6;913350,86;4,76;792817,1;24052,2;54948,3;41533,26;;200;12,77;0;0;0;0;;0;25;2;;0
HIDRO-2025-00122;2023-02-04 13:28:39.811603;Oeste;Municipal;TEC-0021;Riego Agrícola;1;1,1;1;34;0;2;226108,0;234945,03;3,91;187131,0;300,0;38677,0;8837,03;;90;13,8;0;0;0;0;;0;27;2;;0
HIDRO-2025-01015;2023-02-05 13:28:39.827740;Norte;Municipal;TEC-0042;Red Agua Potable;1;1,2;2;117;16;0;9858829,2;9339583,35;-5,27;9590922,0;72428,4;195478,8;-519245,85;PE;400;38,94;11;3;77;0;;0;0;0;;0
HIDRO-2025-00679;2023-02-06 13:28:39.821939;Norte;Municipal;TEC-0009;Reparación;1;1,8;3;7;-1;2;32514,03;37074,27;14,03;31895,69;277,14;341,21;4560,24;FD;400;0,149;0;0;0;0;;0;0;0;Rotura;1
HIDRO-2025-00855;2023-02-06 13:28:39.824995;Norte;Municipal;TEC-0034;Red Agua Potable;1;3,0;2;106;-2;2;2398200,4;3117906,07;30,01;2180920,9;65713,8;151565,7;719705,67;PE;200;35,33;10;3;70;0;;0;0;0;;0
HIDRO-2025-00974;2023-02-06 13:28:39.827033;Sur;Municipal;TEC-0033;Riego Agrícola;1;2,7;3;31;-5;2;570771,6;838743,11;46,95;506526,2;16023,2;48222,2;267971,51;;160;12,68;0;0;0;0;;0;25;2;;0
HIDRO-2025-00488;2023-02-07 13:28:39.818054;Central;Municipal;TEC-0004;Impermeabilización;2;2,8;2;36;-3;2;93664,32;140496,48;50,0;50361,6;10567,68;32735,04;46832,16;;0;0,0;0;0;0;4128;400gr;4541;0;0;;0
HIDRO-2025-00953;2023-02-07 13:28:39.826671;Central;Privado;TEC-0027;Riego Agrícola;2;1,7;2;37;0;1;263916,3;314178,18;19,04;218804,1;11410,0;33702,2;50261,88;;110;11,11;0;0;0;0;;0;22;2;;0
HIDRO-2025-01298;2023-02-07 13:28:39.832608;Norte;Municipal;TEC-0014;Reparación;1;1,5;2;10;5;0;40342,85;47708,99;18,26;39613,86;310,99;418,0;7366,13;FD;300;0,209;0;0;0;0;;0;0;0;Sustitución;1
HIDRO-2025-00723;2023-02-08 13:28:39.822705;Oeste;Comunidad de Regantes;TEC-0014;Reparación;1;1,8;4;12;1;0;56113,74;56007,98;-0,19;54442,5;531,22;1140,02;-105,76;PE;315;0,238;0;0;0;0;;0;0;0;Fuga;1
HIDRO-2025-01395;2023-02-08 13:28:39.834225;Central;Privado;TEC-0011;Reparación;1;2,6;4;3;-2;3;9466,8;11576,84;22,29;9240,08;96,72;130,0;2110,04;FD;300;0,065;0;0;0;0;;0;0;0;Fuga;1
HIDRO-2025-00135;2023-02-09 13:28:39.811858;Este;Industrial;TEC-0005;Reparación;2;1,1;2;8;-3;0;30292,32;34040,08;12,37;29556,0;133,92;602,4;3747,76;PE;400;0,06;0;0;0;0;;0;0;0;Sustitución;2
HIDRO-2025-00199;2023-02-09 13:28:39.812967;Este;Municipal;TEC-0035;Riego Agrícola;1;1,3;3;29;-2;1;1198935,0;1164754,91;-2,85;1124153,0;21969,0;52813,0;-34180,09;;250;11,65;0;0;0;0;;0;23;2;;0
HIDRO-2025-00575;2023-02-09 13:28:39.819708;Central;Comunidad de Regantes;TEC-0017;Impermeabilización;1;1,8;1;27;-1;1;92484,44;113346,87;22,56;49727,2;10434,56;32322,68;20862,43;;0;0,0;0;0;0;4076;400gr;4484;0;0;;0
HIDRO-2025-00608;2023-02-09 13:28:39.820305;Norte;Comunidad de Regantes;TEC-0043;Reparación;1;2,3;2;8;-2;3;18873,75;23781,04;26,0;18447,19;125,74;300,82;4907,29;FD;250;0,169;0;0;0;0;;0;0;0;Fuga;1
HIDRO-2025-00994;2023-02-09 13:28:39.827381;Este;Municipal;TEC-0022;Red Agua Potable;2;1,9;1;66;0;2;6621172,9;9428681,49;42,4;6495786,7;31601,4;93784,8;2807508,59;PE;500;16,99;5;1;33;0;;0;0;0;;0
HIDRO-2025-00124;2023-02-10 13:28:39.811635;Norte;Industrial;TEC-0035;Impermeabilización;3;2,1;5;34;-2;3;84698,88;97253,73;14,82;39166,93;8066,56;37465,39;12554,85;;0;0,0;0;0;0;3151;vertederos;3466;0;0;;0
HIDRO-2025-00506;2023-02-10 13:28:39.818373;Central;Municipal;TEC-0019;Riego Agrícola;2;2,4;4;17;-5;3;84561,4;81857,27;-3,2;70000,8;150,0;14410,6;-2704,13;;90;5,14;0;0;0;0;;0;10;1;;0
HIDRO-2025-01386;2023-02-10 13:28:39.834075;Oeste;Privado;TEC-0026;Reparación;1;1,2;1;14;3;0;27257,17;36693,63;34,62;25463,62;613,8;1179,75;9436,45;PE;200;0,275;0;0;0;0;;0;0;0;Refuerzo;1
HIDRO-2025-00050;2023-02-11 13:28:39.810286;Oeste;Municipal;TEC-0040;Impermeabilización;1;2,8;1;56;2;0;172648,6;258972,9;50,0;84731,91;21455,36;66461,33;86324,3;;0;0,0;0;0;0;8381;200gr;9219;0;0;;0
HIDRO-2025-00227;2023-02-11 13:28:39.813446;Norte;Industrial;TEC-0047;Red Agua Potable;1;1,3;3;120;-2;1;1780784,2;1875661,89;5,33;1580036,9;49488,4;151258,9;94877,69;PE;160;39,91;11;3;79;0;;0;0;0;;0
HIDRO-2025-01136;2023-02-11 13:28:39.829862;Sur;Comunidad de Regantes;TEC-0050;Reparación;1;2,2;1;7;3;2;13054,19;17030,81;30,46;12680,64;110,11;263,44;3976,62;FD;200;0,148;0;0;0;0;;0;0;0;Refuerzo;1
HIDRO-2025-00047;2023-02-13 13:28:39.810232;Central;Privado;TEC-0024;Reparación;2;2,4;1;6;-1;1;10825,29;15609,48;44,19;10293,75;100,44;431,1;4784,19;PE;315;0,045;0;0;0;0;;0;0;0;Fuga;2
HIDRO-2025-01135;2023-02-13 13:28:39.829845;Sur;Municipal;TEC-0034;Reparación;1;2,9;5;2;-7;4;2133,88;2771,88;29,9;1959,7;49,1;125,07;638,0;PE;160;0,033;0;0;0;0;;0;0;0;Refuerzo;1
HIDRO-2025-00134;2023-02-14 13:28:39.811839;Central;Comunidad de Regantes;TEC-0015;Riego Agrícola;1;2,3;5;33;-7;2;324557,7;361308,56;11,32;269048,9;13990,0;41518,8;36750,86;;110;13,69;0;0;0;0;;0;27;2;;0
HIDRO-2025-01020;2023-02-14 13:28:39.827830;Sur;Municipal;TEC-0009;Reparación;2;2,5;5;16;-7;3;5872,64;7345,2;25,08;5389,24;114,39;369,0;1472,57;FD;100;0,123;0;0;0;0;;0;0;0;Rotura;2
HIDRO-2025-00476;2023-02-16 13:28:39.817847;Norte;Industrial;TEC-0028;Impermeabilización;1;2,6;2;40;-3;2;137796,37;181076,52;31,41;74090,6;15546,88;48158,89;43280,15;;0;0,0;0;0;0;6073;400gr;6680;0;0;;0
HIDRO-2025-00639;2023-02-17 13:28:39.820998;Oeste;Municipal;TEC-0034;Riego Agrícola;1;1,3;4;7;-4;1;125181,6;119970,5;-4,16;113803,6;3535,2;7842,8;-5211,1;;200;1,82;0;0;0;0;;0;3;1;;0
HIDRO-2025-00043;2023-02-18 13:28:39.810166;Central;Comunidad de Regantes;TEC-0041;Impermeabilización;2;1,9;3;38;-2;2;99790,62;118549,49;18,8;53655,6;11258,88;34876,14;18758,87;;0;0,0;0;0;0;4398;400gr;4838;0;0;;0
HIDRO-2025-00631;2023-02-18 13:28:39.820712;Oeste;Comunidad de Regantes;TEC-0031;Reparación;2;2,6;1;31;-1;2;27003,24;40504,86;50,0;25978,89;177,07;847,28;13501,62;FD;250;0,238;0;0;0;0;;0;0;0;Fuga;2
HIDRO-2025-01403;2023-02-19 13:28:39.834352;Sur;Privado;TEC-0026;Impermeabilización;1;2,0;2;94;1;1;378792,96;565081,38;49,18;175163,56;36075,52;167553,88;186288,42;;0;0,0;0;0;0;14092;vertederos;15501;0;0;;0
HIDRO-2025-01439;2023-02-20 13:28:39.835009;Central;Privado;TEC-0011;Red Agua Potable;2;1,4;2;118;-1;1;2055406,4;2477870,33;20,55;1869184,4;56320,8;129901,2;422463,93;PE;200;30,28;9;3;60;0;;0;0;0;;0
HIDRO-2025-00388;2023-02-21 13:28:39.816236;Oeste;Industrial;TEC-0012;Impermeabilización;1;2,2;5;32;-7;0;99168,4;127527,06;28,6;48669,54;12323,84;38175,02;28358,66;;0;0,0;0;0;0;4814;200gr;5295;0;0;;0
HIDRO-2025-01114;2023-02-21 13:28:39.829495;Este;Municipal;TEC-0023;Reparación;1;2,4;5;10;-7;2;6529,57;6556,71;0,42;5648,17;292,5;588,9;27,14;PE;110;0,195;0;0;0;0;;0;0;0;Rotura;1
HIDRO-2025-01150;2023-02-21 13:28:39.830096;Sur;Comunidad de Regantes;TEC-0032;Impermeabilización;2;1,8;5;146;-7;3;381101,24;421061,35;10,49;204911,2;42997,76;133192,28;39960,11;;0;0,0;0;0;0;16796;400gr;18476;0;0;;0
HIDRO-2025-00357;2023-02-22 13:28:39.815692;Sur;Comunidad de Regantes;TEC-0045;Reparación;1;1,5;5;2;-7;1;4810,19;4076,27;-15,26;4693,66;39,99;76,54;-733,93;FD;250;0,043;0;0;0;0;;0;0;0;Rotura;1
HIDRO-2025-00160;2023-02-23 13:28:39.812291;Norte;Municipal;TEC-0037;Red Agua Potable;1;2,3;5;53;0;2;1192651,6;1492150,12;25,11;1084596,1;32680,2;75375,3;299498,52;PE;200;17,57;5;1;35;0;;0;0;0;;0
HIDRO-2025-00327;2023-02-23 13:28:39.815166;Sur;Comunidad de Regantes;TEC-0043;Riego Agrícola;2;2,7;3;43;-3;2;320125,0;448897,6;40,23;265380,0;13800,0;40945,0;128772,6;;110;13,5;0;0;0;0;;0;27;2;;0
HIDRO-2025-01306;2023-02-23 13:28:39.832741;Central;Municipal;TEC-0040;Reparación;1;2,8;2;2;-3;0;3680,97;5152,7;39,98;3584,48;31,99;64,5;1471,73;FD;150;0,043;0;0;0;0;;0;0;0;Sustitución;1
HIDRO-2025-00494;2023-02-24 13:28:39.818162;Norte;Industrial;TEC-0024;Riego Agrícola;1;1,1;4;8;-4;3;185096,0;162624,67;-12,14;168296,0;5172,0;11628,0;-22471,33;;200;2,7;0;0;0;0;;0;5;1;;0
HIDRO-2025-00538;2023-02-24 13:28:39.818922;Este;Privado;TEC-0046;Impermeabilización;2;1,3;3;169;-5;2;441343,19;528490,95;19,75;237302,2;49794,56;154246,43;87147,76;;0;0,0;0;0;0;19451;400gr;21396;0;0;;0
